,name,region,subregion,votes,rating,length,lengthtype,gain,hpoint,fee,lat,long,trailhead1,trailhead2,author1,author2,countreports,Wildflowers/Meadows,Mountain views,Dogs allowed on leash,Established campsites,Waterfalls,Good for kids,Fall foliage,Ridges/passes,Wildlife,Old growth,Summits,Lakes,Rivers,Coast
1750,Reflection and Louise Lakes Snowshoe,Mount Rainier Area,SW - Longmire/Paradise,3,3.00,7.0,roundtrip,560,5100,National Park Pass,46.7666,-121.6991,Mount Rainier National Park,,WTA Community,Susan Elderkin,37,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1751,Mazama Ridge Snowshoe,Mount Rainier Area,SW - Longmire/Paradise,7,4.29,6.0,roundtrip,900,5700,National Park Pass,46.7860,-121.7350,Mount Rainier National Park,,WTA Community,Joan Burton,90,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1752,Mount Spokane State Park - Mount Kit Carson Trail,Eastern Washington,Spokane Area/Coeur d'Alene,2,4.00,7.5,roundtrip,1500,5282,Discover Pass,47.8882,-117.1249,Mount Kit Carson (#160),Mount Spokane State Park,WTA Correspondents,Holly Weiler,18,1,1,1,0,0,1,1,0,1,0,1,0,0,0
1753,Capitol State Forest - Waddell Basin West,Olympic Peninsula,Olympia,0,0.00,9.22,one-way,,,Discover Pass,46.9391,-123.0775,Capitol State Forest,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1754,Z Lake,Eastern Washington,,0,0.00,3.5,roundtrip,275,2310,,47.6129,-118.4005,"Washington Department of Fish and Wildlife, Swanson Lake Wildlife Area, (509) 636-2344, www.wdfw.wa.gov/lands/wildlife_areas",,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,William O. Douglas Wilderness,Central Washington,Yakima,0,0.00,52.0,roundtrip,3600,,,,,Gifford Pinchot National Forest,,WTA Correspondents,David Hagen,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,Yelm-Tenino Trail,Olympic Peninsula,Olympia,0,0.00,29.0,roundtrip,,,None,46.9420,-122.6085,City of Yelm,,,,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1757,Youth-on-Age Interpretive Trail,North Cascades,Mountain Loop Highway,6,2.67,0.25,roundtrip,,,Northwest Forest Pass,48.0710,-121.6548,Youth on Age (#738),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Community,Multiple authors contributed to this report,4,1,0,1,0,0,1,1,0,1,1,0,0,0,0
1758,Yakima Greenway,Central Washington,Yakima,4,3.75,10.0,roundtrip,100,1130,None,46.6250,-120.5322,Yakima Greenway (#),Yakima Greenway Foundation,WTA Correspondents,David Hagen,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
1759,Young Hill,Puget Sound and Islands,San Juan Islands,6,3.00,2.2,roundtrip,600,650,,48.5866,-123.1468,San Juan Island National Historical Park,,,,7,0,1,1,0,0,1,0,0,1,0,0,0,0,1
1760,Windy Pass,North Cascades,Pasayten,11,3.45,7.0,roundtrip,1300,6900,Northwest Forest Pass,48.7321,-120.6751,Pacific Crest Trail (#2000),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Michelle Piñon,32,1,1,1,0,0,1,0,1,0,0,0,0,0,0
1761,Whiskey Dick Wildlife Area - Bitterroot Trail,Central Washington,Yakima,0,0.00,1.0,roundtrip,185,,,46.9607,-120.0944,Washington Department of Fish and Wildlife,,,,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1762,White Pass Nordic Center,South Cascades,White Pass/Cowlitz River Valley,0,0.00,1.86,roundtrip,250,4500,,46.6397,-121.3924,Gifford Pinchot National Forest,,WTA Staff,Anna Roth,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1763,White Mountain via Kettle Crest Trail South,Eastern Washington,Okanogan Highlands/Kettle River Range,5,3.20,28.0,roundtrip,1500,6921,Northwest Forest Pass,48.8832,-118.7678,White Mountain (#13),"Colville National Forest, Three Rivers Ranger District",WTA Correspondents,Holly Weiler,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1764,Whiskey Dick Wildlife Area - Bluebird Trail,Central Washington,Yakima,0,0.00,1.7,roundtrip,315,,,46.9607,-120.0944,Washington Department of Fish and Wildlife,,,,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1765,Whitehorse Trail - Swede Heaven to Darrington,North Cascades,Mountain Loop Highway,3,3.67,6.0,one-way,,150,None,48.2702,-121.7065,,,,,20,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1766,Whiskey Dick Wildlife Area - Ridgeline Solar Trail,Central Washington,Yakima,0,0.00,2.4,roundtrip,320,3873,Discover Pass,46.9607,-120.0944,Washington Department of Fish and Wildlife,,,,4,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1767,Wenatchee Mountain,Eastern Washington,,0,0.00,,,,,,47.2811,-120.4349,Mission Ridge Ski Resort,,,,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1768,Whittier Ridge-Lakes Loop,South Cascades,Mount St. Helens,8,3.88,14.3,roundtrip,2600,5840,Northwest Forest Pass,46.3045,-122.0819,"Boundary Trail (#1), Lakes Trail (#211), Whittier Ridge Trail (#214)","Gifford Pinchot National Forest, Cowlitz Valley Ranger District",WTA Correspondents,Ken Giesbers,20,1,1,0,1,0,0,0,1,0,0,0,1,0,0
1769,West Side Road,Issaquah Alps,Tiger Mountain,4,2.75,,,,,Discover Pass,,,West Side Road (#TIGER),Tiger Mountain State Forest,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770,Whiskey Dick Wildlife Area - Backcountry Trail,Central Washington,Yakima,0,0.00,0.8,roundtrip,80,,,46.9607,-120.0944,Washington Department of Fish and Wildlife,,,,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1771,West Butte,Eastern Washington,Palouse and Blue Mountains,3,3.00,5504,,,5504,None,,,West Butte Creek (#3138),"Umatilla National Forest, Pomeroy Ranger District",,,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0
1772,Whiskey Dick Wildlife Area,Central Washington,Yakima,6,3.00,8.0,roundtrip,1750,3850,Discover Pass,46.9607,-120.0944,Washington Department of Fish and Wildlife,,WTA Correspondents,David Hagen,56,1,1,1,0,0,1,0,0,1,0,1,0,0,0
1773,Westcott Bay Nature Reserve and Sculpture Park,Puget Sound and Islands,San Juan Islands,0,0.00,,,,,,48.6105,-123.1471,,,,,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1774,West Fork Agnes Creek,Central Cascades,Entiat Mountains/Lake Chelan,4,3.50,17.0,roundtrip,,,None,48.3428,-120.9161,West Fork Agnes Creek (#1272),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1775,West Tiger 2,Issaquah Alps,Tiger Mountain,4,2.25,7.8,roundtrip,2300,2757,Discover Pass,47.5305,-121.9791,,,,,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1776,Willard Springs Trail,South Cascades,Mount Adams Area,2,3.00,2.0,roundtrip,,,None,45.9654,-121.3420,"Conboy Lake National Wildlife Refuge, U.S. Fish and Wildlife Service",,,,7,1,1,1,0,0,1,0,0,1,0,0,0,0,0
1777,Wilson Creek,Central Cascades,Entiat Mountains/Lake Chelan,4,2.75,2.1,one-way,,,None,,,Wilson Creek (#1231.1),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Community,Multiple authors contributed to this report,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1778,Wallaby Peak,North Cascades,North Cascades Highway - Hwy 20,0,0.00,6.0,roundtrip,2900,7995,Northwest Forest Pass,48.5269,-120.6506,Okanogan-Wenatchee National Forest,,,,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1779,Wallula Gap Overlook,Central Washington,Tri-Cities,1,1.00,6.3,roundtrip,780,1150,None,46.0635,-118.9532,Washington Department of Natural Resources,,WTA Correspondents,Bruce Bjornstad,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1780,Wahatis Peak,Central Washington,Potholes Region,0,0.00,,,,,,46.8065,-119.5582,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781,Weldon Wagon Road,Southwest Washington,Columbia River Gorge - WA,2,2.00,5.4,roundtrip,1290,1900,,45.8001,-121.4707,Washington Department of Natural Resources,,,,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1782,Virginia Lilly,Eastern Washington,Okanogan Highlands/Kettle River Range,5,2.60,3.5,roundtrip,900,4270,,48.8113,-118.9322,Virginia Lilly (#322),"Okanogan-Wenatchee National Forest, Tonasket Ranger District",WTA Correspondents,Aaron Thiesen,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1783,Vanson Peak,South Cascades,Mount St. Helens,4,3.75,13.2,roundtrip,2600,4948,Northwest Forest Pass,46.4294,-122.1548,Vanson Peak (#217.1),Mount St. Helens National Volcanic Monument,,,13,1,1,0,0,0,0,0,0,1,0,0,1,0,0
1784,Wedge Mountain,Central Cascades,Leavenworth Area,3,3.67,2400,,2400,6900,Northwest Forest Pass,47.4810,-120.6821,,,,,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1785,Voodoo Peak,North Cascades,North Cascades Highway - Hwy 20,0,0.00,5198,,,5198,,48.1723,-121.5847,"Mount Baker-Snoqualmie National Forest, Darrington Ranger District",,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1786,Welts-Samish Restoration Site,Puget Sound and Islands,Bellingham Area,0,0.00,30,,30,,Discover Pass,48.5477,-122.4871,Washington Dept. of Fish and Wildlife,,,,23,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1787,Wapaloosie Mountain,Eastern Washington,Okanogan Highlands/Kettle River Range,5,3.40,5.0,roundtrip,1850,6850,,48.6751,-118.5005,Wapaloosie (#2),Colville National Forest,,,14,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1788,Pine Ridge Park,Puget Sound and Islands,Seattle-Tacoma Area,0,0.00,1.2,roundtrip,120,485,None,47.8143,-122.3456,City of Edmonds,,WTA Correspondents,Alan Gibbs,6,1,0,1,0,0,1,1,0,1,0,0,1,0,0
1789,Sacagawea Heritage Trail,Central Washington,Tri-Cities,0,0.00,23.0,of,,,None,46.2383,-119.2284,City of Richland,,WTA Community,Multiple authors contributed to this report,3,0,0,1,0,0,1,1,0,1,0,0,0,1,0
1790,Seminary Hill,Southwest Washington,Lewis River Region,0,0.00,4.5,roundtrip,320,500,None,46.7134,-122.9448,City of Centralia,,WTA Community,Multiple authors contributed to this report,9,0,1,1,0,0,1,1,0,0,0,0,0,0,0
1791,Saratoga Peak,North Cascades,North Cascades Highway - Hwy 20,0,0.00,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,Shellrock Pass,North Cascades,Pasayten,3,2.33,4.0,one-way,,,None,,,Shellrock (#484A),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1793,Tubbs Hill,Eastern Washington,Spokane Area/Coeur d'Alene,0,0.00,2.2,roundtrip,300,,None,47.6715,-116.7827,City of Coeur D'Alene,,WTA Community,Multiple authors contributed to this report,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
1794,Riverside State Park - Bowl and Pitcher Snowshoe,Eastern Washington,Spokane Area/Coeur d'Alene,1,5.00,6.0,roundtrip,500,,Discover Pass,47.6964,-117.4950," (#25),  (#210)",Washington State Parks,WTA Correspondents,Holly Weiler,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1795,Thunder Woods Nature Trail,North Cascades,North Cascades Highway - Hwy 20,1,3.00,1.2,roundtrip,305,1620,Northwest Forest Pass,48.6852,-121.0929,,,,,2,0,1,1,0,0,1,0,0,0,1,0,1,0,0
1796,Rattlesnake Trail,Mount Rainier Area,Chinook Pass - Hwy 410,0,0.00,16.9,one-way,880,5480,None,46.6652,-119.6591,"Okanogan-Wenatchee National Forest, Naches Ranger District",,,,14,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1797,Skagit River,North Cascades,North Cascades Highway - Hwy 20,5,3.20,1.8,roundtrip,100,575,,48.6658,-121.2669,North Cascades National Park Visitors Center (Newhalem),,,,8,0,0,1,1,0,1,0,0,0,1,0,0,1,0
1798,Scout Patrol Peak,Snoqualmie Region,Snoqualmie Pass,0,0.00,2724,,2724,4693,,47.3556,-121.5195,"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,Sierra Park,Puget Sound and Islands,Bellingham Area,3,2.33,1.0,roundtrip,,,None,47.8264,-122.3414,City of Edmonds,,WTA Community,Multiple authors contributed to this report,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
1800,Sexagenarian Peak,North Cascades,Mountain Loop Highway,3,2.67,4880,,,4880,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,Sherman Pass Snowshoe Loop,Eastern Washington,Okanogan Highlands/Kettle River Range,7,2.57,6.0,roundtrip,1000,,Sno-Parks Permit,48.6049,-118.4699,Sherman Pass (#82),"Colville National Forest, Sullivan Lake Ranger District",,,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1802,Silent Swamp Loop,Issaquah Alps,Tiger Mountain,7,3.14,8.8,roundtrip,600,1780,Discover Pass,47.4729,-121.9102,"Northwest Timber Trail (#), Joy Ride Trail (#), Silent Swamp Trail (#), East Side Road (#)","Department of Natural Resources, South Puget Sound Region",WTA Correspondents,Alan Gibbs,27,1,1,0,0,0,1,1,0,1,0,0,0,0,0
1803,Sherlock Peak,Eastern Washington,Selkirk Range,4,3.25,7.0,roundtrip,1580,6200,Northwest Forest Pass,48.8841,-117.5260,Sherlock Peak (#139),"Colville National Forest, Republic Ranger District",,,3,1,1,1,0,0,0,1,0,0,0,1,0,1,0
1804,Sentinel Mountain,Central Washington,Potholes Region,0,0.00,2372,,,2372,,46.8182,-119.8623,,,,,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1805,Seattle View Trail,Issaquah Alps,Tiger Mountain,4,2.50,1.2,roundtrip,,,Discover Pass,47.4840,-121.9761,Seattle View Trail (#TIGER),Tiger Mountain State Forest,,,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1806,Semiahmoo Spit Trail,Puget Sound and Islands,Bellingham Area,0,0.00,1.6,roundtrip,,,,,,Whatcom County Park,,,,6,0,1,1,0,0,1,0,0,1,0,0,0,0,1
1807,Silesia Creek,North Cascades,,5,3.60,9.0,roundtrip,,,Northwest Forest Pass,,,Silesia Creek (#672),Mount Baker Ranger District,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808,Silver Gulch Trail,North Cascades,Mountain Loop Highway,2,1.00,,,,,,48.0784,-121.5671,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,Sa Teekh Wa Trail,North Cascades,Methow/Sawtooth,1,4.00,2.0,roundtrip,,,None,48.4802,-120.1855,Okanogan County,,,,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0
1810,Rock Mountain via Snowy Creek,Central Cascades,Stevens Pass - East,4,4.00,9.0,roundtrip,3600,,Northwest Forest Pass,47.8098,-120.9949,Snowy Creek (#1531),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District, Leavenworth",WTA Correspondents,Rob Shurtleff,65,1,1,1,0,0,0,1,0,1,0,1,0,0,0
1811,Ryan Lake,South Cascades,Mount St. Helens,5,3.20,0.7,roundtrip,165,3465,Northwest Forest Pass,46.3518,-122.0637,Ryan Lake (#222),Mount St. Helens National Volcanic Monument,,,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1812,Robinson Canyon - Ainsley Canyon,Central Washington,Yakima,6,3.17,10.0,roundtrip,1200,3400,Discover Pass,47.0142,-120.7054,Washington Department of Fish and Wildlife,,WTA Correspondents,David Hagen,54,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1813,Rock Mountain,North Cascades,Pasayten,0,0.00,,,,,Northwest Forest Pass,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1814,Roaring Ridge Snowshoe via Road 9070,Snoqualmie Region,Snoqualmie Pass,0,0.00,10.0,roundtrip,3200,4988,Northwest Forest Pass,47.3885,-121.3971,"Mount Baker-Snoqualmie National Forest, North Bend Ranger District",,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,Ryan Cabin,Eastern Washington,Okanogan Highlands/Kettle River Range,3,4.33,6.4,roundtrip,1365,5600,,48.7612,-118.4349,Ryan Cabin (#30),"Colville National Forest, Three Rivers Ranger District, Kettle Falls, (509) 775-3305, www.fs.fed.us/r6/colville",,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1816,Rainbow Canyon,Olympic Peninsula,Hood Canal,4,2.25,1.0,roundtrip,,,,47.8219,-122.8834,Rainbow Canyon (#892),"Olympic National Forest, Hood Canal Ranger District",,,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1817,Red Mountain Snowshoe,Snoqualmie Region,Salmon La Sac/Teanaway,0,0.00,8.0,roundtrip,3560,5880,Northwest Forest Pass,47.4028,-121.1111,"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,,8,0,1,1,0,0,0,0,0,0,1,1,1,0,0
1818,Red Cedars,Issaquah Alps,Cougar Mountain,2,2.50,0.6,roundtrip,,,None,47.5429,-122.0802,King County Parks,,,,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1819,Rim Trail,South Cascades,Mount Adams Area,2,3.00,0.9,roundtrip,100,3620,,45.8813,-121.9865,Rim Trail (#202),Mt. Adams,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,Rattlesnake Trail,Eastern Washington,Palouse and Blue Mountains,7,3.43,10.0,roundtrip,2900,5700,None,46.2043,-117.7058,Rattlesnake Trail (#3129),"Umatilla National Forest, Pomeroy Ranger District",WTA Staff,Anna Roth,17,1,1,1,1,0,0,0,1,0,0,1,0,0,0
1821,Red Pass,Snoqualmie Region,Snoqualmie Pass,5,3.40,2300,,2300,5300,Northwest Forest Pass,47.4290,-121.4147,Red Pass (#1033),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",,,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,Rasar State Park,North Cascades,North Cascades Highway - Hwy 20,5,3.60,3.0,roundtrip,20,125,Discover Pass,48.5167,-121.9059,Washington State Parks,,WTA Correspondents,Lindsay Leffelman,32,0,1,1,1,0,1,0,0,1,1,0,0,1,0
1823,Blazer Lake,Snoqualmie Region,Snoqualmie Pass,2,4.50,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1824,Red Mountain Lookout,South Cascades,Mount Adams Area,2,3.50,8.0,roundtrip,,4968,Northwest Forest Pass,45.9085,-121.8113,"Gifford Pinchot National Forest, Mount Adams Ranger District",,WTA Community,Multiple authors contributed to this report,9,1,1,1,0,0,1,0,0,0,0,1,0,1,0
1825,Quartz Creek,Central Cascades,Stevens Pass - West,5,2.40,8.4,roundtrip,1500,4000,Northwest Forest Pass,47.9245,-121.2839,Quartz Creek (#1050),Mt. Baker - Snoqualmie National Forest - Skykomish District,,,63,1,1,0,0,0,0,0,0,0,1,0,0,1,0
1826,Potters Pond Fishing and Observation Platform,Eastern Washington,Selkirk Range,0,0.00,0.25,roundtrip,,,,48.4269,-117.6709,Little Pend Oreille National Wildlife Refuge,,,,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1827,Poo Top,Issaquah Alps,Tiger Mountain,1,3.00,0.8,roundtrip,,2948,Discover Pass,47.5230,-122.0270,Tiger Mountain State Forest,,,,50,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1828,Point Whitehorn,Puget Sound and Islands,Bellingham Area,2,3.00,4.0,roundtrip,,,None,48.8872,-122.7795,Whatcom Land Trust,,WTA Community,Multiple authors contributed to this report,16,1,1,0,0,0,1,1,0,1,0,0,0,0,1
1829,Poe Mountain,Central Cascades,Stevens Pass - East,6,3.50,6.0,roundtrip,3000,6015,Northwest Forest Pass,47.9183,-121.0874,Poe Mountain (#1520),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",,,32,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1830,Preston Railroad Grade,Issaquah Alps,Tiger Mountain,4,2.50,2.6,roundtrip,900,,Discover Pass,47.4988,-121.9255,Preston Railroad Grade (#TIGER),Tiger Mountain State Forest,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,Potholes Wildlife Area,Central Washington,Potholes Region,4,3.00,4.0,roundtrip,,1050,Discover Pass,46.9709,-119.3486,Washington Department of Fish and Wildlife,,WTA Community,Multiple authors contributed to this report,9,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1832,Pinnacle Lake,North Cascades,Mountain Loop Highway,8,3.00,3.8,roundtrip,1200,3800,None,48.0587,-121.7360,Pinnacle Lake (#703),"Mt. Baker Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Linda Roe,188,1,1,1,0,0,0,0,0,0,0,0,1,0,0
1833,Port Susan Bay Preserve,Puget Sound and Islands,Bellingham Area,0,0.00,2.0,roundtrip,,,,48.2083,-122.3654,The Nature Conservancy of Washington,,,,4,0,0,0,0,0,1,0,0,1,0,0,0,1,1
1834,Pipsissewa Trail,Eastern Washington,Okanogan Highlands/Kettle River Range,4,2.75,4.2,roundtrip,860,4420,Northwest Forest Pass,48.7329,-118.9816,Pipsissewa (#383),"Okanogan-Wenatchee National Forest, Tonasket Ranger District",,,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1835,Precipice Top Trail,Issaquah Alps,Cougar Mountain,4,3.25,0.2,roundtrip,,,None,47.5429,-122.0804,Precipice Trail (#COUGAR),"King County, Cougar Mountain State Forest",,,12,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1836,Protector Trail,Issaquah Alps,Cougar Mountain,0,0.00,0.8,roundtrip,,,,47.5410,-122.0963,Protector Trail (#Cougar - E9),"King County, Cougar Mountain State Forest",,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1837,Point Colville,Puget Sound and Islands,San Juan Islands,0,0.00,,,,,None,48.4327,-122.8223,,,,,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1
1838,Trapper Lake,North Cascades,North Cascades Highway - Hwy 20,0,0.00,5.0,roundtrip,,,,,,North Cascades National Park,,,,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0
1839,Sunrise Peak,North Cascades,Pasayten,0,0.00,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,Preacher Mountain,Snoqualmie Region,North Bend Area,0,0.00,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,Sherman Point Loop,Eastern Washington,Okanogan Highlands/Kettle River Range,0,0.00,3.0,roundtrip,200,1475,Discover Pass,48.5852,-118.1412,Sherman Point Loop (#),Department of Natural Resources,WTA Correspondents,Holly Weiler,6,1,0,1,0,0,0,0,1,1,0,0,0,1,0
1842,Terrace Creek Park,Puget Sound and Islands,Seattle-Tacoma Area,0,0.00,2.0,roundtrip,80,440,None,47.7874,-122.2980,City of Mountlake Terrace,,WTA Correspondents,Alan Gibbs,12,1,0,1,0,0,1,1,0,1,0,0,0,0,0
1843,Ulalach Peak,North Cascades,Mountain Loop Highway,0,0.00,8.5,roundtrip,4150,,Northwest Forest Pass,,,"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",,,,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1844,Silver Star Mountain (Okanogan),North Cascades,North Cascades Highway - Hwy 20,0,0.00,4500,,4500,8876,None,48.5500,-120.6306,"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1845,Twin Harbors State Park,Olympic Peninsula,Olympia,0,0.00,,,,,,,,Washington State Parks,,WTA Community,Multiple authors contributed to this report,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1846,Terrace Mountain,North Cascades,North Cascades Highway - Hwy 20,0,0.00,5.25,roundtrip,3000,,Northwest Forest Pass,,,North Cascades National Park,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1847,Tin Can Gap,North Cascades,Mountain Loop Highway,7,3.86,12.0,roundtrip,2800,5800,,48.1937,-121.7716,"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1848,Rainbow Falls Mist Trail,Central Cascades,Entiat Mountains/Lake Chelan,0,0.00,0.25,roundtrip,30,1200,None,48.3422,-120.7013,North Cascades National Park,,WTA Staff,Anna Roth,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0
1849,Rock Creek - Red Pass Loop,Snoqualmie Region,Snoqualmie Pass,0,0.00,17.0,roundtrip,5600,5400,Northwest Forest Pass,47.4454,-121.4235,"Snow Lake Trail (#1013), Rock Creek Trail (#1013.1), Middle Fork Trail (#1003), Red Pass - Commonwealth Basin Trail (#1033)","Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Correspondents,Ken Giesbers,8,0,1,0,0,1,0,0,1,0,1,0,0,1,0
1850,Tucannon River - Rattlesnake Loop,Eastern Washington,Palouse and Blue Mountains,0,0.00,21.0,roundtrip,2700,,Northwest Forest Pass,46.1890,-117.6194,"Umatilla National Forest, Pomeroy Ranger District",,WTA Correspondents,Holly Weiler,4,1,1,1,1,0,0,1,1,1,0,1,0,1,0
1851,Rennie Peak,North Cascades,Methow/Sawtooth,1,4.00,15.0,roundtrip,4500,,None,,,"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1852,South Fork Walla Walla River,Eastern Washington,Palouse and Blue Mountains,0,0.00,39.2,roundtrip,2885,5000,Northwest Forest Pass,45.8305,-118.1697,South Fork Walla Walla River (#3225),Umatilla National Forest,WTA Community,Multiple authors contributed to this report,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0
1853,Sinlahekin Natural Area,Eastern Washington,Okanogan Highlands/Kettle River Range,0,0.00,8.0,of,,2700,Refuge Entrance Pass,48.7909,-119.6463,Washington Department of Fish and Wildlife,,WTA Community,Multiple authors contributed to this report,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1854,Three Forks,Eastern Washington,Palouse and Blue Mountains,0,0.00,6.6,roundtrip,3100,4700,Northwest Forest Pass,,,Three Forks Trail (#3133),"Umatilla National Forest, Pomeroy Ranger District",WTA Community,Multiple authors contributed to this report,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1855,Trillium Community Forest Land,Puget Sound and Islands,Whidbey Island,0,0.00,5.5,roundtrip,100,260,None,48.0501,-122.5679,Whibdey Camano Land Trust,,WTA Community,Multiple authors contributed to this report,2,1,0,1,0,0,1,1,0,1,1,0,1,0,0
1856,Snowfield Peak,North Cascades,North Cascades Highway - Hwy 20,0,0.00,22.0,roundtrip,,8357,None,,,"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1857,Union Peak,Central Cascades,Stevens Pass - East,0,0.00,1096,,1096,5696,,47.8112,-121.0826,Mount Baker-Snoqualmie Ranger District,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1858,Upper Icicle Creek,Central Cascades,Leavenworth Area,4,3.25,10.0,roundtrip,400,3200,Northwest Forest Pass,47.6125,-120.9499,"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",,,,57,0,0,1,1,0,1,0,0,0,1,0,0,0,0
